conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.62010833094456E+018,Mon Jan 30 17:15:00 +0000 2023,0,lmaoooo don't buy perfumes off tiktok shop these people sold me alcohol with fragrance i'm so annoyed,1.62010833094456E+018,,,en,,0,1,0,https://x.com/p1scesprincess/status/1620108330944561152,1.47602023302235E+018,p1scesprincess
1.62005398468494E+018,Mon Jan 30 13:39:03 +0000 2023,0,My SHOP pay app full of orders I be ordering anything I see on TikTok I ordered that BBL shit &amp; all ,1.62005398468494E+018,,,en,"Tampa, FL",0,0,0,https://x.com/TheGeWayy/status/1620053984684949505,268415157,TheGeWayy
1.62014514665766E+018,Mon Jan 30 19:41:18 +0000 2023,0,Someone take tiktok shop away from me please ,1.62014514665766E+018,,,en,"Swansea, Wales",0,0,0,https://x.com/chelsey_thomas/status/1620145146657669120,24588910,chelsey_thomas
1.62002347284722E+018,Mon Jan 30 11:37:49 +0000 2023,1,Why do TikTok Shop succeed but Instagram Shop failed miserably?,1.62002347284722E+018,,,en,Kabupaten,0,2,0,https://x.com/wooper_dome/status/1620023472847220743,177172689,wooper_dome
1.61977488834818E+018,Sun Jan 29 19:10:02 +0000 2023,0,TikTok has changed the way products are marketed forever. From heavy filters to authenticity consumers are tired of perfect marketing they want real feedback and actual results Turns out the best marketing is just to be your authentic self,1.61977488834818E+018,,,en,Ready to learn more? ðŸ‘‰,0,0,0,https://x.com/jackie_startok/status/1619774888348188676,1.430243532179E+018,jackie_startok
1.61968924235097E+018,Sun Jan 29 13:29:42 +0000 2023,0,tiktok shop is my new shopee app :&gt;&gt;&gt;&gt;,1.61968924235097E+018,,,en,ralph's,0,0,0,https://x.com/alexabulanadi_/status/1619689242350977024,7.18861212977508E+017,alexabulanadi_
1.61955253743847E+018,Sun Jan 29 04:26:29 +0000 2023,0,tiktok shop is the revolution,1.61955253743847E+018,,,en,,0,0,0,https://x.com/svetlaane/status/1619552537438478338,1.27997525414887E+018,svetlaane
1.63029392579665E+018,Mon Feb 27 19:48:55 +0000 2023,3,Discovering Tiktok shop is the best and worst of times,1.63029392579665E+018,,,en,"London, UK",0,2,0,https://x.com/KelseYouLater/status/1630293925796651009,189083184,KelseYouLater
1.63024653984189E+018,Mon Feb 27 16:40:38 +0000 2023,6,I can t stop buying stuff from tiktok shop I am too easily influenced!! Everything I ve bought so far has been 10/10 though so who s the real winner?,1.63024653984189E+018,,,en,"South West, England",0,1,0,https://x.com/_laurenken/status/1630246539841896450,1032615535,_laurenken
1.63014077758952E+018,Mon Feb 27 09:40:22 +0000 2023,0,happy with my tiktok shop finds ,1.63014077758952E+018,,,en,sa malayo,0,0,0,https://x.com/kinakeya/status/1630140777589522432,9.03493366234488E+017,kinakeya
1.62655206502666E+018,Sun Feb 26 21:33:03 +0000 2023,1,Don't trust tiktok shop me especially for face products? I don't know if you see it tag me babe xxx,1.62995774208445E+018,,Ayeshapatel01,en,,0,1,0,https://x.com/maryamazimi_/status/1629957742084456448,8.7153213938008E+017,maryamazimi_
1.62984194911203E+018,Sun Feb 26 13:52:56 +0000 2023,0,This one tiktok shop got me tempted.,1.62984194911203E+018,,,en,She/her! ðŸ§–â€â™€ï¸ ,0,1,0,https://x.com/avocadauxs/status/1629841949112033281,1.01970451918415E+018,avocadauxs
1.62976967672007E+018,Sun Feb 26 09:05:45 +0000 2023,0,I can't stop myself checking out to tiktok shop,1.62976967672007E+018,,,en,3 ðŸ€,0,0,0,https://x.com/l3yds/status/1629769676720078848,1.17147778439425E+018,l3yds
1.62971991674703E+018,Sun Feb 26 05:48:01 +0000 2023,0,i made a huge mistake.... yesterday i sit down and finally take time to watch tiktok after months of downloading it in my phone. n i discover tiktok shop live... suddenly i bought 5 pants and a few ehem 4 blouse i think i should uninstall that apps before i buy more,1.62971991674703E+018,,,en,,0,0,0,https://x.com/Nad_zainudin/status/1629719916747038720,2184785378,Nad_zainudin
1.62950856349126E+018,Sat Feb 25 15:48:10 +0000 2023,0,Tiktok shop s targeted audience is way below the market compared to Instagram.,1.62950856349126E+018,,,en,Malaysia,0,0,0,https://x.com/devuschka/status/1629508563491262464,14349592,devuschka
1.62939215448444E+018,Sat Feb 25 08:05:36 +0000 2023,0,Tiktok is now have shop. Every social media wants to have an e-commerce section and it will never work. The law of marketing wont allow it to work.,1.62939215448444E+018,,,en,"Kuala Lumpur City, Kuala Lumpu",0,0,0,https://x.com/ajoyaesthetics/status/1629392154484445184,107099660,ajoyaesthetics
1.64151250618196E+018,Thu Mar 30 18:47:33 +0000 2023,2,Stayed on one of those tiktok shop lives for a laugh and ended up buying something this is ridiculous.,1.64151250618196E+018,https://pbs.twimg.com/tweet_video_thumb/FsfS66TWYAEcypZ.jpg,,en,she/her 20 white ,0,0,0,https://x.com/chuunafishh/status/1641512506181967894,1.26817388196729E+018,chuunafishh
1.64150097445507E+018,Thu Mar 30 18:01:44 +0000 2023,0,I keep getting videos on tiktok about buying bags of sweets from tiktok shop. Now I'm tempted to invest. ,1.64150097445507E+018,,,en,"England, United Kingdom",0,1,0,https://x.com/skzismyuniverse/status/1641500974455074817,1.21788795630168E+018,skzismyuniverse
1.64094316847979E+018,Wed Mar 29 13:42:41 +0000 2023,1,Bro the way I ordered four from tiktok shop the other day I was successfully influenced,1.64107339358272E+018,,randomtweets749,en,Pizza hut ,0,1,0,https://x.com/randomtweets749/status/1641073393582723073,1.37254048984564E+018,randomtweets749
